id,name,age
1,Jean Benjamin,32
2,Nina Despres,72
3,Jim Larry,73
4,Paula Estrada,52
5,Maurice Johnson,42
6,Mary Jehlicka,34
7,Mary Scott,49
8,Gary Lucas,11
9,Marla Perry,31
10,Tracy Skinner,5
11,Rosa Abrams,69
12,Shannon Ortmann,64
13,Karen Perry,82
14,Brenda Overton,20
15,Nancy Ricard,11
16,Dana Braatz,69
17,Tim Part,20
18,Denise Forth,95
19,Johnnie Whitt,31
20,Christine Smithers,27
21,Christopher Martinez,77
22,Elizabeth Bemrose,37
23,Cynthia Jerman,88
24,Maggie Wilhelm,97
25,Michael Hathaway,61
26,David Hansell,61
27,Terri Arreola,1
28,Danny Tongue,37
29,Michael Anderson,73
30,Ricky Norsaganay,47
31,Melody Niceswander,25
32,Sandra Rogers,90
33,James Fryer,96
34,Mary Damico,42
35,Linda Gilyard,10
36,Judith Edwards,28
37,Joan Smith,13
38,Jasper Durfee,29
39,Wesley Johnson,20
40,Tabatha Harms,66
